Date	Time	Open	High	Low	Close	Vol	OI	2009	2010	2011	2012	2013	2014	2015	2016	2017
7/28/2010	17:00	19.613	19.713	19.298	19.458	34905	59422		-0.008155775							
7/29/2010	17:00	19.473	19.668	19.453	19.598	23989	58693		0.007194984							
7/30/2010	17:00	19.608	20.098	19.503	19.973	34221	58930		0.019134606							
8/2/2010	17:00	19.973	20.548	19.948	20.328	38011	58592		0.017773995							
8/3/2010	17:00	20.353	20.583	20.288	20.363	24150	60049		0.001721763							
8/4/2010	17:00	20.373	20.673	20.198	20.273	27647	59537		-0.004419781							
8/5/2010	17:00	20.278	20.453	20.158	20.308	21242	57591		0.001726434							
8/6/2010	17:00	20.313	20.558	20.263	20.428	24813	55175		0.005909001							
8/9/2010	17:00	20.473	20.548	20.193	20.303	18543	52840		-0.006119052							
8/10/2010	17:00	20.298	20.448	19.933	20.283	33311	49816		-0.000985076							
8/11/2010	17:00	20.273	20.328	19.768	19.868	32136	47467		-0.020460484							
8/12/2010	17:00	19.858	20.078	19.823	20.043	27839	45079		0.008808134							
8/13/2010	17:00	20.043	20.153	19.933	20.113	18890	43971		0.003492491							
8/16/2010	17:00	20.093	20.463	20.073	20.373	23039	44675		0.012926963							
8/17/2010	17:00	20.378	20.593	20.323	20.478	26460	46256		0.00515388							
8/18/2010	17:00	20.478	20.548	20.138	20.338	51177	40531		-0.006836605							
8/19/2010	17:00	20.338	20.563	20.193	20.258	32379	37640		-0.003933523							
8/20/2010	17:00	20.268	20.313	19.818	19.964	37446	34230		-0.014512785							
8/23/2010	17:00	19.983	20.043	19.863	19.965	26869	28766		5.00902E-05							
8/24/2010	17:00	19.953	20.453	19.708	20.351	55708	25509		0.019333834							
8/25/2010	17:00	20.338	21.013	20.318	20.999	51461	21466		0.031841187							
8/26/2010	17:00	20.928	21.138	20.873	20.955	40531	13880		-0.002095338							
8/27/2010	17:00	20.938	21.313	20.873	21.012	36100	6459		0.002720115							
8/30/2010	17:00	21.043	21.213	20.958	21.011	6886	3002		-4.75919E-05							
8/31/2010	17:00	21.012	21.382	20.797	21.369	28852	91931		0.017038694							
9/1/2010	17:00	21.369	21.472	21.257	21.33	25459	93514		-0.001825074							
9/2/2010	17:00	21.302	21.677	21.282	21.609	26868	94568		0.013080169							
9/3/2010	17:00	21.642	21.922	21.442	21.886	32087	98221		0.012818733							
9/7/2010	17:00	21.907	21.982	21.522	21.851	35393	98957		-0.001599196							
9/8/2010	17:00	21.772	22.117	21.757	21.946	30910	98465		0.004347627							
9/9/2010	17:00	21.882	22.032	21.617	21.792	33336	98717		-0.007017224							
9/10/2010	17:00	21.687	22.002	21.637	21.782	28593	99557		-0.000458884							
9/13/2010	17:00	21.832	22.207	21.757	22.088	27797	102679		0.014048297							
9/14/2010	17:00	22.007	22.487	21.967	22.369	38527	102027		0.01272184							
9/15/2010	17:00	22.437	22.587	22.277	22.508	29634	103028		0.006213957							
9/16/2010	17:00	22.547	22.782	22.412	22.708	29055	102397		0.00888573							
9/17/2010	17:00	22.747	22.962	22.557	22.753	33742	102925		0.00198168							
9/20/2010	17:00	22.717	22.937	22.657	22.74	23172	101883		-0.000571353							
9/21/2010	17:00	22.707	23.047	22.452	22.577	36197	102348		-0.007167986							
9/22/2010	17:00	22.962	23.137	22.867	22.992	37238	102131		0.018381539							
9/23/2010	17:00	23.102	23.202	22.822	23.15	31604	103129		0.006871955							
9/24/2010	17:00	23.087	23.427	23.057	23.336	31422	104868		0.008034557							
9/27/2010	17:00	23.397	23.582	23.302	23.408	26919	106170		0.003085362							
9/28/2010	17:00	23.397	23.737	22.997	23.644	52370	107896		0.010082023							
9/29/2010	17:00	23.712	24.012	23.647	23.889	39296	106743		0.010362037							
9/30/2010	17:00	23.832	24.062	23.502	23.758	51243	105236		-0.005483695							
10/1/2010	17:00	23.758	24.107	23.662	23.997	38171	106057		0.010059769							
10/4/2010	17:00	24.062	24.172	23.817	23.973	27334	105535		-0.001000125							
10/5/2010	17:00	23.847	24.857	23.747	24.674	55849	106722		0.02924123							
10/6/2010	17:00	24.802	25.137	24.697	24.98	47916	105941		0.012401718							
10/7/2010	17:00	25.122	25.467	24.412	24.521	85434	103244		-0.0183747							
10/8/2010	17:00	24.457	25.262	24.287	25.042	67185	105245		0.021247094							
10/11/2010	17:00	25.347	25.612	24.992	25.286	39724	102659		0.009743631							
10/12/2010	17:00	25.227	25.432	24.882	25.084	49055	102915		-0.00798861							
10/13/2010	17:00	25.252	26.067	25.212	25.869	57540	103896		0.031294849							
10/14/2010	17:00	25.997	26.887	25.932	26.372	75396	102036		0.019444122							
10/15/2010	17:00	26.587	26.792	26.012	26.225	68861	99153		-0.005574094							
10/18/2010	17:00	26.242	26.452	25.652	26.35	54893	98188		0.004766444							
10/19/2010	17:00	26.327	26.442	25.207	25.717	78074	96463		-0.02402277							
10/20/2010	17:00	25.322	25.912	25.227	25.801	53355	96183		0.003266322							
10/21/2010	17:00	25.862	26.012	24.967	25.076	76229	95171		-0.028099686							
10/22/2010	17:00	25.122	25.332	24.777	25.055	49833	92573		-0.000837454							
10/25/2010	17:00	25.237	25.792	25.237	25.481	44473	92909		0.017002594							
10/26/2010	17:00	25.587	25.887	25.102	25.767	64287	91883		0.011224049							
10/27/2010	17:00	25.802	26.232	25.287	25.341	59352	90669		-0.016532774							
10/28/2010	17:00	25.522	25.977	25.437	25.812	51739	91066		0.01858648							
10/29/2010	17:00	25.967	26.687	25.692	26.501	63336	91538		0.026693011							
11/1/2010	17:00	26.501	26.992	26.452	26.489	52493	89308		-0.000452813							
11/2/2010	17:00	26.567	26.877	26.552	26.773	43017	89155		0.010721432							
11/3/2010	17:00	26.867	26.977	25.872	26.373	80500	85839		-0.014940425							
11/4/2010	17:00	26.847	28.307	26.687	27.98	80678	90536		0.060933531							
11/5/2010	17:00	28.252	28.852	27.812	28.685	80678	86339		0.025196569							
11/8/2010	17:00	28.797	29.677	28.452	29.369	89079	80169		0.023845215							
11/9/2010	17:00	29.667	31.277	28.352	30.843	174399	72298		0.050188975							
11/10/2010	17:00	28.907	30.112	28.422	28.802	140678	65897		-0.066173848							
11/11/2010	17:00	29.177	29.777	28.827	29.342	84597	62371		0.018748698							
11/12/2010	17:00	29.622	29.627	27.697	27.879	110643	61053		-0.049860269							
11/15/2010	17:00	27.962	28.417	27.337	28.029	82132	59181		0.005380394							
11/16/2010	17:00	27.497	27.787	26.917	27.17	95820	57721		-0.03064683							
11/17/2010	17:00	27.347	27.842	26.952	27.448	75478	51905		0.010231873							
11/18/2010	17:00	27.527	28.977	27.527	28.771	73971	48991		0.048200233							
11/19/2010	17:00	28.882	29.337	28.282	29.116	83935	48952		0.011991241							
11/22/2010	17:00	29.527	29.832	29.012	29.398	72770	46393		0.009685396							
11/23/2010	17:00	29.787	29.822	28.957	29.509	105751	42175		0.003775767							
11/24/2010	17:00	29.452	29.622	29.037	29.465	62315	28268		-0.001491071							
11/26/2010	17:00	29.462	29.492	28.337	28.636	61873	17208		-0.028135076							
11/29/2010	17:00	28.672	29.207	28.387	29.13	82392	78222		0.017251013							
11/30/2010	17:00	29.082	30.282	28.812	30.104	81317	80941		0.03343632							
12/1/2010	17:00	30.104	30.772	29.912	30.305	66089	80995		0.006676854							
12/2/2010	17:00	30.362	30.972	30.222	30.464	64734	81345		0.005246659							
12/3/2010	17:00	30.517	31.382	30.487	31.163	59924	83673		0.022945116							
12/6/2010	17:00	31.442	32.247	31.372	31.627	79168	84193		0.014889452							
12/7/2010	17:00	32.092	32.642	30.377	31.669	104213	81645		0.001327979							
12/8/2010	17:00	30.662	31.182	29.902	30.144	103267	77161		-0.048154347							
